Inventor,Country
RONZANI ALBERTO,FI
TAKALA EELIS,FI
ZIMBORAS ZOLTAN,HU
KALLUS ZSOFIA,HU
NEMETH GABOR,HU
HAGA PETER,HU
VAN DER HEIJDEN JOOST,DK
KUEMMETH FERDINAND,DK
VON SOOSTEN MERLIN,DK
ANDRESEN S REN,DK
KUTCHINSKY JONATAN,DK
KUHLE ANDERS,DK
VAN DER HEIJDEN JOOST,DK
KUEMMETH FERDINAND,DK
VON SOOSTEN MERLIN,DK
ANDRESEN S REN,DK
KUTCHINSKY JONATAN,DK
KUHLE ANDERS,DK
OCKELOEN KORPPI CASPAR,FI
VALIMAA ALPO,FI
LAHTEENMAKI PASI,FI
ALEXANDER RAFAEL N,CA
BOURASSA JOSEPH ELI,CA
HASTRUP JACOB,DK
HILLMANN TIMO,SE
AWAN AHSAN JAVED,SE
DIKME ALTAY,SE
LAHTEENMAKI PASI,FI
MOTTONEN MIKKO,FI
AFEF FEKI,FR
SAKIRA HASSAN,FI
ISTVAN ZSOLT KOVACS,DK
CHATTERJEE ANASUA,DK
KRAUSE OSWIN,DK
KUEMMETH FERDINAND,DK
BROWN BENJAMIN JAMES,DK
CROSS ANDREW W,US
GUPTA RIDDHI SWAROOP,US
JOCHYM O CONNOR TOMAS RAPHAEL,US
YODER THEODORE JAMES,US
ANDRESEN S REN,DK
KANN PETER ULRIK,DK
VON SOOSTEN MERLIN,DK
BOURENNANE MOHAMED,SE
MOTTONEN MIKKO,FI
TUORILA JANI,FI
OCKELOEN KORPPI CASPAR,FI
RABINA JUKKA,FI
HEINSOO JOHANNES,FI
HASSEL JUHA,FI
SEVRIUK VASILII,FI
HASSEL JUHA,FI
MOTTONEN MIKKO,FI
LAHTEENMAKI PASI,FI
LAHTEENMAKI PASI,FI
HASSEL JUHA,FI
MOTTONEN MIKKO,FI
MOTTONEN MIKKO,FI
MAKINEN AKSELI,FI
QIU WEI,FI
LIU WEI,FI
LI TIANYI,FI
GOVENIUS JOONAS,FI
SARAVANAN M,IN
K M BHARATHVAJ,IN
AWAN AHSAN JAVED,SE
LAHTEENMAKI PASI,FI
LITVINENKO ARTEM,SE
KERMAN JOHAN,SE
KHYMYN ROMAN,SE
AKERMAN JOHAN,SE
ALMLOF JONAS,SE
VALL LLOSERA GEMMA,SE
ZWILLER VAL,SE
LETTNER THOMAS,SE
GYGER SAMUEL,SE
KNAPP CHRISTINA PAULSEN,US
KARZIG TORSTEN,US
BAUER ROMAN BELA,US
LUTCHYN ROMAN MYKOLAYOVYCH,US
KOSKI JONNE VERNERI,NL
PETERSSON KARL DAVID,DK
DELROSSO GIOVANNI,FI
GARCIA PEREZ GUILLERMO,FI
LEHTINEN JANNE,FI
KEMPPINEN ANTTI,FI
MYKKANEN EMMA,FI
PRUNNILA MIKA,FI
RONZANI ALBERTO,FI
HEINSOO JOHANNES,FI
TUORILA JANI,FI
AYED AL SAYEM,US
WILLETT ROBERT,US
KRISTJUHAN KAUR,DK
NICHOLAS JONES MARK,DK
KRISTJUHAN KAUR,DK
NICHOLAS JONES MARK,DK
LARSEN MIKKEL VILSB LL,DK
NEERGAARD NIELSEN JONAS SCHOU,DK
ANDERSEN ULRIK LUND,DK
DRACHMANN ASBJ RN CENNET CLIFF,DK
PETERSSON KARL,DK
SARAVANAN M,IN
AWAN AHSAN JAVED,SE
BHARATHVAJ K M,IN
MARIELLA NICOLA,IE
FLINTER STEPHEN PATRICK,IE
CONWAY JAMES,IE
BRAGARD QUENTIN,FI
PRATHAPAN MRIDULA,IN
MORF THOMAS,CH
MUELLER PETER,CH
KOSSEL MARCEL A,CH
ZOTA BOGDAN CEZAR,SE
FRANCESE PIER ANDREA,IT
SIMMONS MICHELLE YVONNE,AU
GORMAN SAMUEL KEITH,AU
THORGRIMSSON BRANDUR,IS
KRANZ LUDWIK,AU
KEITH DANIEL,AI
CHUNG YOU SUN,KR
MARTIN ANA,ES
SANZ MIKEL,ES
PINA CANELLES VICENTE,DE
AUER ADRIAN,DE
DE VEGA INES,DE
LEIB MARTIN,DE
PINA CANELLES VICENTE,DE
HEIMONEN HERMANNI,FI
LAMPRICH JULIA,DE
WURZ NICOLA,DE
KU HSIANG SHENG,DE
SINGH AMRITA,NL
MEMISEVIC ELVEDIN,SE
KROGSTRUP JEPPESEN PETER,DK
OLSSON MARTIN ANDREAS,SE
VEGAS OLMOS JUAN JOSE,DK
MENTOVICH ELAD,IL
LISS LIRAN,IL
PIASETZKY YONATHAN,IL
MUHAMED BASHEER AFRAD,IN
SARAVANAN M,IN
WILLETT ROBERT,US
AWAN AHSAN JAVED,SE
PETROSYAN DAVIT,NL
BASHEER AFRAD MUHAMED,IN
SIRCAR RANA PRATAP,IN
MOHAN SARAVANAN,IN
DANNY DE VLEESCHAUWER,BE
TUOHINO SASU,FI
MOTTONEN MIKKO,FI
KUNDU SUMAN,FI
KEMPPINEN ANTTI,FI
NISSILA JAANI,FI
VIHERIALA JUKKA,FI
GOVENIUS JOONAS,FI
NISSILA JAANI,FI
KEMPPINEN ANTTI,FI
PEREZ GUILLERMO GARCIA,FI
ROSSI MATTEO,FI
ZAHEDINEJAD MOHAMMAD,SE
MURALIDHAR SHREYAS,SE
KERMAN JOHAN,SE
HOUSHANG AFSHIN,SE
AWAD AHMAD,SE
AKERMAN JOHAN,SE
VESTERINEN VISA,FI
SIMBIEROWICZ SLAWOMIR,FI
PEREZ GUILLERMO GARCIA,FI
MANISCALCO SABRINA,FI
ROSSI MATTEO,FI
SOKOLOV BORIS,FI
ANDRESEN S REN,DK
KANN PETER ULRIK,DK
VON SOOSTEN MERLIN,DK
VON SOOSTEN MERLIN,DK
KUEMMETH FERDINAND,DK
KUHLE ANDERS,DK
SKJ DT MARTIN,DK
KUTCHINSKY JONATAN,DK
KANN PETER ULRIK,DK
FARRAHI MOGHADDAM FEREYDOUN,CA
FARRAHI MOGHADDAM REZA,CA
LI WUBIN,CA
GHERBI ABDELOUAHED,CA
JENEI MATE,FI
CHAN KOK WAI,FI
AHMAD HASNAIN,FI
VENKATESH MANJUNATH RAMACHANDRAPPA,FI
LIU WEI,FI
YANG LILY,FI
LI TIANYI,FI
ORGIAZZI JEAN LUC,FI
OCKELOEN KORPPI CASPAR,FI
LANDRA ALESSANDRO,FI
PALMA MARIO,FI
JENEI MATE,FI
CHAN KOK WAI,FI
AHMAD HASNAIN,FI
VENKATESH MANJUNATH RAMACHANDRAPPA,FI
LIU WEI,FI
YANG LILY,FI
LI TIANYI,FI
ORGIAZZI JEAN LUC,FI
OCKELOEN KORPPI CASPAR,FI
LANDRA ALESSANDRO,FI
PALMA MARIO,FI
MIDOLO LEONARDO,DK
LODAHL PETER,DK
UPPU RAVITEJ,DK
NIELSEN HENRI THYRRESTRUP,DK
RAMESH SHREYAS,US
HSU KUNG CHUAN,US
HOWARD MAX,US
NASERI HASSAN,FI
OREG YUVAL,IL
SHAVIT GAL,IL
LESSER OMRI,IL
BERG EREZ,IL
STERN ADIEL,IL
FLENSBERG KARSTEN,DK
CATUOGNO TOMMASO,IT
CAVALIERE FABIO,IT
RALLI MENELAOS,IT
PIKULIN DMITRY,CA
THOMAS MASON L,US
NAYAK CHETAN VASUDEO,US
LUTCHYN ROMAN MYKOLAYOVYCH,US
NIJHOLT BAS,NL
VAN HECK BERNARD,NL
MARTINEZ ESTEBAN ADRIAN,DK
WINKLER GEORG WOLFGANG,US
DE LANGE GIJSBERTUS,NL
WATSON JOHN DAVID,NL
HEEDT SEBASTIAN,NL
KARZIG TORSTEN,US
CASPARIS LUCAS,DK
HIGGINBOTHAM ANDREW PATRICK,AT
MARTINEZ ESTEBAN ADRIAN,DK
KAMINENI VIMAL,US
LICAUSI NICHOLAS V,US
MELNICHUK ANN,US
MCMAHON JAMES JAY,US
JOHANSSON HENRIK,SE
VERT ALEXEY,US
FITZSIMONS JOSEPH FRANCIS,SG
TAN SI HUI,DK
HYYPPA ERIC,FI
MOTTONEN MIKKO,FI
HASSEL JUHA,FI
TUORILA JANI,FI
HASSEL JUHA,FI
SEVRIUK VASILII,FI
HEINSOO JOHANNES,FI
TAN KUAN,FI
MOTTONEN MIKKO,FI
LI TIANYI,FI
LIU WEI,FI
VENKATESH MANJUNATH RAMACHANDRAPPA,FI
AHMAD HASNAIN,FI
